,amnesia,total,ratio
Ab Fubinaca,131.0,10200.0,0.0128431372549
Abacavir,983.0,111000.0,0.00885585585586
Abatacept,169.0,49600.0,0.00340725806452
Abciximab,194.0,51500.0,0.00376699029126
Abiraterone,282.0,44800.0,0.00629464285714
Acacia,10200.0,3080000.0,0.00331168831169
Acamprosate,716.0,29700.0,0.0241077441077
Acarbose,236.0,77900.0,0.00302952503209
Acebutolol,227.0,36200.0,0.00627071823204
Aceclofenac,149.0,67400.0,0.00221068249258
Acemetacin,24.0,5980.0,0.00401337792642
Acepifylline,1.0,110.0,0.00909090909091
Acepromazine Maleate,47.0,6890.0,0.00682148040639
Acesulfame,2380.0,108000.0,0.022037037037
Acetarsol,6.0,1560.0,0.00384615384615
Acetazolamide,5980.0,107000.0,0.0558878504673
Acetic Acid,5050.0,1970000.0,0.00256345177665
Acetohexamide,54.0,6000.0,0.009
Acetohydroxamic Acid,63.0,7660.0,0.00822454308094
Acetone,4730.0,2140000.0,0.00221028037383
Acetylcarnitine,184.0,21700.0,0.00847926267281
Acetylcholine,20700.0,705000.0,0.0293617021277
Acetylcysteine,1520.0,265000.0,0.0057358490566
Achillea,6420.0,316000.0,0.0203164556962
Achyranthes,196.0,30300.0,0.00646864686469
Acipimox,40.0,6760.0,0.00591715976331
Acitretin,118.0,37700.0,0.0031299734748
Aclidinium,79.0,11400.0,0.0069298245614
Aconite,1320.0,68800.0,0.0191860465116
Acorus,1150.0,129000.0,0.00891472868217
Acrivastine,60.0,8710.0,0.00688863375431
Acrosoxacin,1.0,145.0,0.00689655172414
Actinidia,79.0,130000.0,0.000607692307692
Activated Protein C Recombinant Human,3850.0,3010000.0,0.00127906976744
Acyclovir,10500.0,369000.0,0.0284552845528
Adalimumab,5880.0,174000.0,0.0337931034483
Adapalene,103.0,50800.0,0.00202755905512
Adefovir,140.0,47100.0,0.00297239915074
Ademetionine,17.0,2680.0,0.00634328358209
Adenine,2750.0,654000.0,0.00420489296636
Adenophora,50.0,21500.0,0.00232558139535
Adenosine,10600.0,1190000.0,0.00890756302521
Adhesive,54900.0,13700000.0,0.00400729927007
Adiphenine,16.0,1190.0,0.0134453781513
Adrenaline,54500.0,4220000.0,0.0129146919431
Aereca,1230.0,199.0,6.18090452261
Aesculus,135.0,181000.0,0.000745856353591
Afatinib,45.0,36200.0,0.00124309392265
Aflibercept,70.0,39800.0,0.00175879396985
Agar,90800.0,30000000.0,0.00302666666667
Agathosma Betulina,29.0,2740.0,0.0105839416058
Agmatine,268.0,54800.0,0.00489051094891
Agomelatine,431.0,15500.0,0.0278064516129
Agrimonia,164.0,67100.0,0.00244411326379
Agropyron Repens,70.0,27900.0,0.00250896057348
Ajmaline,51.0,9010.0,0.00566037735849
Akebia,137.0,67900.0,0.0020176730486
Alanine,8360.0,1330000.0,0.00628571428571
Alathon Polyethylene Resin,0.0,807.0,0.0
Albendazole,4270.0,186000.0,0.0229569892473
Albizia Julibrissin,114.0,36100.0,0.00315789473684
Albumin,11700.0,2600000.0,0.0045
Alclofenac,51.0,2800.0,0.0182142857143
Alclometasone,55.0,7720.0,0.00712435233161
Alcloxa,2.0,1200.0,0.00166666666667
Alcuronium,93.0,5170.0,0.0179883945841
Alectinib,47.0,16100.0,0.00291925465839
Aleglitazar,6.0,2650.0,0.0022641509434
Alemtuzumab,338.0,70600.0,0.00478753541076
Alendronic Acid,3510.0,9510.0,0.369085173502
Alexitol,1.0,154.0,0.00649350649351
Alexitol Sodium,3.0,125.0,0.024
Alfentanil,2890.0,47600.0,0.0607142857143
Alfuzosin,4210.0,51400.0,0.081906614786
Algae,10300.0,3760000.0,0.00273936170213
Algae Spirulina,171.0,130000.0,0.00131538461538
Alginic Acid,149.0,46500.0,0.00320430107527
Alglucerase,41.0,2810.0,0.014590747331
Alglucosidase Alfa,38.0,6640.0,0.00572289156627
Alicaforsen,0.0,1270.0,0.0
Aliskiren,241.0,48600.0,0.00495884773663
Alitretinoin,44.0,9560.0,0.00460251046025
Allantoin,166.0,224000.0,0.000741071428571
Allium Sativum,538.0,138000.0,0.00389855072464
Allogeneic T Cells Expressing Car 19 And Depleted Of T Cell Receptor Cd52,0.0,598.0,0.0
Allopurinol,20300.0,309000.0,0.0656957928803
Allyloestrenol,45.0,219.0,0.205479452055
Almasilate,4.0,710.0,0.0056338028169
Almotriptan,275.0,19300.0,0.0142487046632
Aloe,17600.0,7210000.0,0.00244105409154
Alogliptin,106.0,41700.0,0.00254196642686
Aloin,199.0,193000.0,0.0010310880829
Aloxiprin,20.0,1240.0,0.0161290322581
Alpha 1 Proteinase Inhibitor,2010.0,242000.0,0.00830578512397
Alpha Galactosidase A,173.0,113000.0,0.00153097345133
Alpha Pinene,161.0,28300.0,0.0056890459364
Alphadolone Acetate,27.0,723.0,0.0373443983402
Alphaxalone,482.0,5110.0,0.094324853229
Alpinia,299.0,102000.0,0.00293137254902
Alprazolam,27300.0,404000.0,0.0675742574257
Alprostadil,501.0,74600.0,0.00671581769437
Alseroxylon,4.0,300.0,0.0133333333333
Alteplase,286.0,51500.0,0.00555339805825
Althaea,3810.0,85400.0,0.0446135831382
Althaea Officinalis,134.0,48200.0,0.00278008298755
Altretamine,55.0,9310.0,0.00590762620838
Aluminium Acetate,2740.0,324000.0,0.00845679012346
Aluminium Chloride,2760.0,541000.0,0.00510166358595
Aluminium Chlorohydrate,61.0,10600.0,0.00575471698113
Aluminium Glycinate,18.0,3100.0,0.0058064516129
Aluminium Hydroxide,1270.0,518000.0,0.00245173745174
Aluminium Oxide,4520.0,1260000.0,0.0035873015873
Aluminium Sodium Silicate,882.0,66200.0,0.0133232628399
Aluminium Stearate,1280.0,40300.0,0.0317617866005
Aluminosilicate Mineral,37.0,56900.0,0.000650263620387
Alverine,17.0,5430.0,0.00313075506446
Amantadine,13000.0,134000.0,0.0970149253731
Amaranth,4120.0,826000.0,0.00498789346247
Ambrisentan,66.0,17600.0,0.00375
Ambroxol,290.0,116000.0,0.0025
Ambucetamide,3.0,238.0,0.0126050420168
Ambutonium,1.0,695.0,0.00143884892086
Ambutonium Bromide,3.0,115.0,0.0260869565217
Amfetamine,332.0,39600.0,0.00838383838384
Amidotrizoic Acid,24.0,702.0,0.034188034188
Amifampridine,7.0,3530.0,0.00198300283286
