,Multiple All,Multiple Fatal,Single All,Single Fatal,Total All,Total Fatal,end_date,start_date,total_reactions,first_react
Ab Fubinaca,0,0,0,0,0,0,2015-06-01,1963-07-01,6,2015-05-09
Abacavir,0,0,1,0,1,0,2016-02-04,1963-07-01,1936,1998-06-08
Abatacept,0,0,0,0,0,0,2016-02-08,1963-07-01,305,2007-09-26
Abciximab,0,0,0,0,0,0,2015-11-04,1963-07-01,442,1996-04-10
Abiraterone,0,0,1,0,1,0,2016-01-29,1963-07-01,488,2011-06-12
Acacia,0,0,0,0,0,0,2012-01-14,1963-07-01,3,2001-01-31
Acamprosate,0,0,1,0,1,0,2016-02-04,1963-07-01,331,1996-07-02
Acarbose,0,0,1,0,1,0,2015-03-24,1963-07-01,352,1993-07-15
Acebutolol,0,0,0,0,0,0,2015-11-03,1963-07-01,593,1964-06-20
Aceclofenac,0,0,1,0,1,0,2015-11-30,1963-07-01,312,1996-04-04
Acemetacin,0,0,1,0,1,0,2015-07-23,1963-07-01,393,1989-03-10
Acepifylline,0,0,0,0,0,0,2011-12-13,1963-07-01,16,1968-02-23
Acepromazine Maleate,0,0,0,0,0,0,2015-03-30,1963-07-01,1,
Acesulfame,0,0,0,0,0,0,2013-02-08,1963-07-01,14,2012-11-12
Acetarsol,0,0,0,0,0,0,2012-05-08,1963-07-01,28,1967-06-27
Acetazolamide,0,0,0,0,0,0,2016-01-21,1963-07-01,727,1965-02-05
Acetic Acid,0,0,0,0,0,0,2015-12-16,1963-07-01,97,1989-09-10
Acetohexamide,0,0,0,0,0,0,2011-12-13,1963-07-01,3,1967-01-11
Acetohydroxamic Acid,0,0,0,0,0,0,2011-12-15,1963-07-01,1,2011-07-25
Acetone,0,0,0,0,0,0,2012-10-12,1963-07-01,3,
Acetylcarnitine,0,0,0,0,0,0,2015-06-24,1963-07-01,17,2011-08-04
Acetylcholine,0,0,0,0,0,0,2011-12-13,1963-07-01,5,1988-12-12
Acetylcysteine,0,0,0,0,0,0,2016-01-05,1963-07-01,933,1979-03-04
Achillea,0,0,0,0,0,0,2012-09-19,1963-07-01,6,1997-01-23
Achyranthes,0,0,0,0,0,0,2015-11-06,1963-07-01,22,2011-05-15
Acipimox,0,0,1,0,1,0,2012-05-12,1963-07-01,183,1988-02-04
Acitretin,0,0,2,0,2,0,2016-02-01,1963-07-01,773,1992-09-01
